                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2327,                0.99556,                 1.5528,                0.96596,                0.94532,                0.98321,                0.65846,                  1.207,                0.76805,                 1.4689,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.2473,                0.95807,                 1.5472,                0.96443,                0.96349,                0.98666,                 0.7024,                 1.0126,                0.75346,                 1.4078,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.1892,                0.91073,                 1.4995,                0.95333,                0.96183,                0.98365,                0.69169,                 1.0164,                0.75446,                  1.388,              0.0012819,              0.0012819,              0.0012819
                     37,                  1.188,                0.93584,                 1.5105,                0.95753,                0.97328,                0.98794,                0.72712,                0.99217,                0.71215,                 1.3424,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.2025,                0.92409,                 1.5004,                0.93043,                0.93764,                0.98058,                0.68583,                 1.0364,                0.79025,                 1.3807,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.2136,                0.90611,                 1.5011,                0.93592,                0.94679,                0.97853,                0.69036,                 1.0146,                0.72667,                 1.3795,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.1915,                0.92401,                 1.5062,                0.95546,                0.95072,                0.98608,                0.70882,                  1.034,                0.69611,                 1.3923,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.2033,                0.92628,                 1.5211,                0.95344,                0.94117,                0.98123,                0.71648,                0.97869,                0.74653,                 1.3459,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.1648,                0.86328,                 1.4924,                0.89647,                0.88434,                 0.9797,                0.69212,                  1.051,                0.85465,                 1.3887,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.1988,                0.87208,                 1.4896,                0.97172,                 0.9645,                0.98531,                0.71578,                 1.0452,                0.66413,                 1.3738,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.1428,                0.85483,                 1.4571,                0.96952,                0.96548,                0.99043,                0.73113,                0.96937,                0.66525,                 1.3342,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.1615,                0.86611,                  1.455,                0.96849,                0.96616,                0.98955,                0.74065,                0.94502,                0.63165,                 1.3003,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.1411,                0.81186,                 1.4337,                 0.9613,                0.96205,                0.98922,                 0.7514,                0.92594,                0.65823,                 1.2864,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.1392,                0.83216,                 1.4665,                0.95843,                0.97105,                0.98739,                0.72733,                0.96616,                0.61156,                 1.3206,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.1308,                0.84966,                 1.4549,                0.95529,                 0.9854,                0.98841,                0.72573,                0.95682,                0.61341,                 1.3194,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.1445,                0.83302,                 1.4491,                0.95069,                0.97746,                0.98825,                0.73596,                0.94486,                0.61891,                 1.3023,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.1227,                0.79717,                 1.4254,                0.97167,                 0.9708,                0.98992,                0.74389,                0.93652,                0.57272,                 1.2947,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.1095,                0.79796,                 1.4268,                0.96589,                0.95787,                 0.9872,                0.74565,                0.92721,                0.59095,                  1.292,              0.0011169,              0.0011169,              0.0011169
                     52,                 1.0845,                0.74671,                 1.3854,                0.95901,                0.98371,                0.98898,                0.74623,                0.92022,                0.61917,                 1.2676,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.0932,                0.80322,                  1.414,                0.96461,                0.97866,                 0.9904,                0.76293,                0.89158,                0.54748,                 1.2454,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.0966,                0.76806,                 1.4022,                0.97457,                0.95973,                0.98961,                0.72878,                0.97342,                0.59463,                 1.3341,              0.0010839,              0.0010839,              0.0010839
                     55,                 1.0825,                0.75419,                 1.3749,                0.96981,                0.97814,                 0.9883,                 0.7585,                  0.904,                0.55917,                  1.242,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.0849,                0.78381,                  1.396,                0.96181,                0.96891,                0.98921,                0.75637,                0.92192,                0.59135,                 1.2861,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.0961,                0.78018,                 1.4011,                0.97481,                0.97713,                0.99256,                 0.7607,                0.89785,                0.54657,                 1.2619,              0.0010509,              0.0010509,              0.0010509
                     58,                 1.0634,                0.74898,                 1.3849,                0.96246,                0.97574,                0.99012,                0.74546,                0.93927,                0.56475,                  1.296,              0.0010399,              0.0010399,              0.0010399
                     59,                 1.0965,                0.75933,                 1.4016,                0.98404,                0.96851,                0.98921,                0.76175,                0.90456,                0.56136,                 1.2627,              0.0010289,              0.0010289,              0.0010289
                     60,                 1.0794,                0.78149,                 1.3986,                0.97654,                0.98141,                0.99026,                0.75738,                0.91313,                 0.5477,                 1.2665,              0.0010179,              0.0010179,              0.0010179
                     61,                 1.0641,                 0.7505,                 1.3814,                0.98281,                0.98736,                0.99245,                0.75688,                0.91627,                0.52765,                 1.2721,              0.0010069,              0.0010069,              0.0010069
                     62,                 1.0735,                0.74635,                 1.3812,                 0.9748,                0.97563,                0.99128,                0.75786,                0.90494,                0.57438,                 1.2591,             0.00099587,             0.00099587,             0.00099587
                     63,                 1.0457,                0.69736,                 1.3674,                0.96919,                0.98281,                0.99193,                0.74613,                0.94009,                0.55974,                 1.2853,             0.00098486,             0.00098486,             0.00098486
                     64,                 1.0677,                0.73268,                 1.3908,                0.98041,                0.98157,                0.99159,                0.76859,                0.87081,                0.52061,                 1.2343,             0.00097386,             0.00097386,             0.00097386
                     65,                  1.033,                0.68921,                  1.344,                0.97604,                0.98788,                0.99298,                0.76795,                0.87706,                0.50141,                 1.2307,             0.00096286,             0.00096286,             0.00096286
                     66,                 1.0265,                0.70028,                  1.347,                0.98084,                 0.9856,                0.99306,                0.76427,                0.86637,                0.49712,                 1.2364,             0.00095186,             0.00095186,             0.00095186
